Activity,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
8.46,895.8798556399997,41050.27399999999,28.88996379025341,290.12683048946565,783.038400364614,168.3734353935773,4415.175079316972,37.554341242065156,3994.784955636237,70.81711893956812,344.73435471,2736.5762136302865,1678.54553732804,6989.493138851916,733.7880000000001,170.03257440735416,62.674004540602176,51.43745297854474,123.4112854361383
7.82,878.2108880399998,40042.269,28.458517592346503,296.38314798760183,810.0901971454301,172.13900839010495,4534.078908423103,37.33221820732259,3989.5351990037357,71.22589421152014,329.3815317399999,2678.7323052893557,1690.087800094449,6951.802388707047,720.7830000000001,169.78308982363728,61.7162300106627,50.1808917030178,123.69959322487685
7.92,499.16309688,28206.18,26.494803745988076,246.03757209230736,646.5352962399834,151.65109977514666,3052.751063492891,25.57052973954584,3296.870383458111,62.42598066972487,214.16926478,2328.485043831946,1209.4335445196587,5532.94728671379,518.0579999999999,97.4552256082092,42.539430620492325,45.0275842234513,102.28054132385104
7.0,775.0703179599998,34561.774999999994,26.51166308567721,270.35673587055237,742.1029138688937,161.70528775600363,3786.214932891702,36.44256914503116,3884.1196457535393,66.20827955757666,288.27239433000005,2474.8078854262217,1410.3136066723541,6574.506605820585,593.5889999999999,164.22765978167658,58.6624989656838,45.48542282083349,111.53025459712714
6.66,775.0703179599998,34561.774999999994,26.51166308567721,270.35673587055237,742.1029138688937,161.70528775600363,3786.214932891702,36.44256914503116,3884.1196457535393,66.20827955757666,288.27239433000005,2474.8078854262217,1410.3136066723541,6574.506605820585,593.5889999999999,164.22765978167658,58.6624989656838,45.48542282083349,111.53025459712714
7.44,750.9373905199998,31701.7424,25.915577641248014,205.24682836943217,564.2435538576684,125.14808111134744,2714.339094416475,40.62837602480082,3764.2572484164343,62.56580792365542,290.42843264,2460.093180939183,1029.1806927993898,6256.7553457102085,524.8277999999999,164.85063395836005,62.91428004223864,43.840096730504605,102.9417041952386
9.31,865.8406989999997,38757.777400000006,26.709738835167403,252.14665399725098,680.2309606612748,150.54501324959065,3560.048427452327,41.30496063865352,4007.2446975115026,64.51774330082581,340.04946655999987,2752.4842558933856,1369.4446423203522,6912.569503179391,615.8628000000001,171.6216041363849,66.0991416479872,46.64385403072951,109.70232301606016
9.88,1090.9926908799996,41781.7924,26.709738835167403,266.29450462350235,763.0157215678995,158.95563241367492,4006.7251764907173,46.537330673888626,4331.156498746647,67.30211669017416,396.2921883599999,2752.4842558933856,1444.2449726351385,7477.44674180203,654.8778000000001,214.0859856961732,76.44527825584176,46.64385403072951,115.70496910297327
9.05,1108.1711257599998,42789.797399999996,26.837589613902626,261.669333436164,737.2972031806104,154.1673853020186,3978.4659887121907,46.630912828304666,4349.280038800448,67.46359373330417,404.76960291999995,2798.2473262646413,1453.2255587250033,7545.083422766828,667.8828000000001,214.75654665156222,76.91389422747474,47.09492143628654,116.43354284792677
9.28,1188.3544515999997,42967.60140000001,26.846836616044296,317.2605203329924,890.8234423128991,193.64440998355815,4622.416808181207,69.03779619004821,4369.68747414438,67.48716417439292,460.06103112999983,2816.446260840241,1685.1705229541794,7578.4572531434,668.1888000000001,234.03283737351546,98.36270887971772,47.11641730649733,116.48067960447348
9.28,832.2045363199998,33895.55640000001,26.195381293794885,255.93031831326337,683.413490783428,157.49473110969808,3335.3572350200084,66.30712220502913,3861.272028897744,63.22928489047573,358.0499013299999,2581.1386906111275,1289.6630837923212,6485.174064478284,551.1437999999998,174.30319039691003,87.7352154449711,44.81678534377495,105.01339771010174
8.72,832.2045363199998,33895.55640000001,26.195381293794885,255.93031831326337,683.413490783428,157.49473110969808,3335.3572350200084,66.30712220502913,3861.272028897744,63.22928489047573,358.0499013299999,2581.1386906111275,1289.6630837923212,6485.174064478284,551.1437999999998,174.30319039691003,87.7352154449711,44.81678534377495,105.01339771010174
8.59,909.5143129199997,36089.37040000001,26.469331933337433,349.5903096988002,935.4978412729282,228.05117570998667,4324.797206435185,80.22110932104738,4012.6605387847835,64.29191330995288,426.9015129399999,2696.7564631304745,1683.929838236593,6750.524447805132,577.4597999999999,183.70208399564677,107.04196884254202,45.77263828708152,107.44858964462959
9.06,755.0170001199998,32217.6434,26.713221844050675,211.43612675873882,581.8011602008021,128.7333540446334,2827.1390147380266,40.56110837773718,3788.1434077507865,63.306605735919675,291.33484724,2463.6330420148774,1071.3822397586594,6308.731660522484,542.3717999999999,164.91334790722485,62.732360139299495,45.409119902283955,104.78096272997306
7.8,755.0170001199998,32217.6434,26.713221844050675,211.43612675873882,581.8011602008021,128.7333540446334,2827.1390147380266,40.56110837773718,3788.1434077507865,63.306605735919675,291.33484724,2463.6330420148774,1071.3822397586594,6308.731660522484,542.3717999999999,164.91334790722485,62.732360139299495,45.409119902283955,104.78096272997306
9.2,923.7941792399997,37097.37539999999,26.469331933337436,361.2324254475325,969.6630738533865,233.33017053666998,4559.937627702859,80.20809022046632,4053.676787936957,64.60550454311881,425.82529365999983,2696.7564631304745,1747.4594856401577,6869.010489216207,590.4647999999999,185.71756093606106,106.95324243260687,45.77263828708152,108.63187478415348
8.97,1048.4343766799996,37749.7724,26.318649161100172,239.9183590926497,702.6403923322246,146.87856790648476,3465.656892241671,47.00723635069935,4170.266482776811,66.1105816318643,378.3049423199999,2610.3857988661784,1238.0754692475111,7082.992927247336,602.8578000000001,215.56483107929532,76.39075256128845,45.26368964291357,111.68560554126928
