Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
4.32,283.6997999999999,54.46917902125624,435.3539005136719,39.3035377406941,35.87303067110444,3986.571553251676,137.05929999999998,1123.9330681289066,58.4318006809953,241.35562808896825,82.7925786351545,5770.810999999999,30.71518325305349,1640.3029016685364,2709.6563025648984,120.21919043,89.59022484086381
7.92,668.7629999999999,69.45726764280516,1391.3001648454601,60.70045236520145,49.76626913804169,6511.800545686885,287.6951999999999,3656.7194939480746,106.28581221815412,404.2118826638489,165.64346841460736,14125.660800000001,37.091674165474096,2544.1649500341123,3810.7356328001256,313.72852255,147.4641919748979
6.41,614.244,68.78147191715351,1225.534900048423,58.53318913549234,47.58599431145682,6225.511424680947,258.94609999999994,3275.138915977901,105.758960625551,380.85042181486386,162.33854436949946,12370.2933,36.57706435723219,2377.287454929111,3725.979965129382,281.6777791,137.53297430622882
9.6,848.3340000000004,76.31664935997044,1985.9853793033124,84.50674547872296,51.838710604238614,8363.328399733147,323.9710999999999,5770.015192986763,150.31976990161306,576.2307581331216,254.87135532163518,17410.318300000006,48.97382022713539,2862.1112562976696,4716.672265789521,479.22713645999977,190.13598200195145
8.46,733.7880000000001,70.81711893956812,1678.54553732804,62.674004540602176,51.43745297854474,6989.493138851916,313.70519999999993,4415.175079316972,107.13737115960787,461.94984200654704,170.03257440735416,16141.670800000004,37.554341242065156,2736.5762136302865,3994.784955636237,344.73435471,168.3734353935773
7.82,720.7830000000001,71.22589421152014,1690.087800094449,61.7162300106627,50.1808917030178,6951.802388707047,297.96109999999993,4534.078908423103,107.19946203859593,476.60073483262187,169.78308982363728,15394.308300000002,37.33221820732259,2678.7323052893557,3989.5351990037357,329.3815317399999,172.13900839010495
7.92,518.0579999999999,62.42598066972487,1209.4335445196587,42.539430620492325,45.0275842234513,5532.94728671379,238.01799999999994,3052.751063492891,58.174816716383546,408.0273866243868,97.4552256082092,11845.6106,25.57052973954584,2328.485043831946,3296.870383458111,214.16926478,151.65109977514666
7.0,593.5889999999999,66.20827955757666,1410.3136066723541,58.6624989656838,45.48542282083349,6574.506605820585,248.28389999999993,3786.214932891702,106.15666232548459,450.2820381972007,164.22765978167658,13114.258100000001,36.44256914503116,2474.8078854262217,3884.1196457535393,288.27239433000005,161.70528775600363
6.66,593.5889999999999,66.20827955757666,1410.3136066723541,58.6624989656838,45.48542282083349,6574.506605820585,248.28389999999993,3786.214932891702,106.15666232548459,450.2820381972007,164.22765978167658,13114.258100000001,36.44256914503116,2474.8078854262217,3884.1196457535393,288.27239433000005,161.70528775600363
7.44,524.8277999999999,62.56580792365542,1029.1806927993898,62.91428004223864,43.840096730504605,6256.7553457102085,230.83339999999993,2714.339094416475,107.45108427987142,353.8220334576642,164.85063395836005,12566.2035,40.62837602480082,2460.093180939183,3764.2572484164343,290.42843264,125.14808111134744
9.31,615.8628000000001,64.51774330082581,1369.4446423203522,66.0991416479872,46.64385403072951,6912.569503179391,269.8483999999999,3560.048427452327,108.78526660375515,415.4648590908741,171.6216041363849,15590.218500000003,41.30496063865352,2752.4842558933856,4007.2446975115026,340.04946655999987,150.54501324959065
